date,SPY,QQQ,SCHD,IEF,GLD,SGOV,TQQQ,TQQQ_cal,QLD,QLD_cal
1998-10-05,-1.3592998329148287e-06,0.0,-1.3592998329148287e-06,0.00035095890410958815,0.0,0.0003469465893129,0.0,0.0,0.0,0.0
1998-10-06,5.583531179009782e-05,0.0,5.583531179009782e-05,0.00011356164383561616,0.0,0.0001139471924927,0.0,0.0,0.0,0.0
1998-10-07,0.0002950537413615173,0.0,0.0002950537413615173,0.0001158904109589041,0.0,0.0001145143580796,0.0,0.0,0.0,0.0
1998-10-08,2.4871157832451196e-05,0.0,2.4871157832451196e-05,0.0001189041095890411,0.0,0.0001136636314267,0.0,0.0,0.0,0.0
1998-10-09,-1.2249918273088412e-06,0.0,-1.2249918273088412e-06,0.00012506849315068467,0.0,0.0001065793090295,0.0,0.0,0.0,0.0
1998-10-12,-1.5146674026134122e-07,0.0,-1.5146674026134122e-07,0.0003924657534246575,0.0,0.0003188883725222,0.0,0.0,0.0,0.0
1998-10-13,6.0152305413674334e-05,0.0,6.0152305413674334e-05,0.00013082191780821917,0.0,0.000106296124174,0.0,0.0,0.0,0.0
1998-10-14,1.973964298018771e-05,0.0,1.973964298018771e-05,0.00012972602739726028,0.0,0.0001065793090295,0.0,0.0,0.0,0.0
1998-10-15,4.533381101401446e-06,0.0,4.533381101401446e-06,0.0001254794520547945,0.0,0.0001102620280301,0.0,0.0,0.0,0.0
1998-10-16,1.011877049417187e-05,0.0,1.011877049417187e-05,0.00012520547945205478,0.0,0.0001136636314267,0.0,0.0,0.0,0.0
1998-10-19,-4.447589630585114e-06,0.0,-4.447589630585114e-06,0.00036369863013698624,0.0,0.0002993605792571,0.0,0.0,0.0,0.0
1998-10-20,2.775160358403639e-06,0.0,2.775160358403639e-06,0.00012123287671232876,0.0,0.0001040311656061,0.0,0.0,0.0,0.0
1998-10-21,6.707406991557363e-05,0.0,6.707406991557363e-05,0.0001236986301369863,0.0,0.0001082787217724,0.0,0.0,0.0,0.0
1998-10-22,2.4028162519229568e-05,0.0,2.4028162519229568e-05,0.00012438356164383562,0.0,0.000109695296765,0.0,0.0,0.0,0.0
1998-10-23,1.3302496838396571e-05,0.0,1.3302496838396571e-05,0.00012506849315068467,0.0,0.0001088453083744,0.0,0.0,0.0,0.0
1998-10-26,-3.47458302640824e-06,0.0,-3.47458302640824e-06,0.00038219178082191774,0.0,0.0003256860235251,0.0,0.0,0.0,0.0
1998-10-27,3.6903786621023116e-06,0.0,3.6903786621023116e-06,0.00012753424657534248,0.0,0.0001122460433269,0.0,0.0,0.0,0.0
1998-10-28,0.00019037898619611582,0.0,0.00019037898619611582,0.0001247945205479452,0.0,0.0001111122334569,0.0,0.0,0.0,0.0
1998-10-29,0.0001302801735503234,0.0,0.0001302801735503234,0.00012369863013698601,0.0,0.0001173510554014,0.0,0.0,0.0,0.0
1998-10-30,4.386903531328201e-06,0.0,4.386903531328201e-06,0.0001223287671232874,0.0,0.00011848614021,0.0,0.0,0.0,0.0
1998-11-02,6.048899050759005e-06,0.0,6.048899050759005e-06,0.0003743835616438356,0.0,0.0003563098429962,0.0,0.0,0.0,0.0
1998-11-03,2.6398211523392945e-05,0.0,2.6398211523392945e-05,0.00012876712328767096,0.0,0.0001210409295269,0.0,0.0,0.0,0.0
1998-11-04,0.00014574528672772757,0.0,0.00014574528672772757,0.0001289041095890411,0.0,0.0001233128401812,0.0,0.0,0.0,0.0
1998-11-05,8.334645681618014e-05,0.0,8.334645681618014e-05,0.00013164383561643808,0.0,0.000125017383035,0.0,0.0,0.0,0.0
1998-11-06,9.439931915089517e-05,0.0,9.439931915089517e-05,0.0001315068493150685,0.0,0.0001255856801981,0.0,0.0,0.0,0.0
1998-11-09,0.00015756069954897534,0.0,0.00015756069954897534,0.0004047945205479443,0.0,0.0003810200322124,0.0,0.0,0.0,0.0
1998-11-10,0.00016975720312217835,0.0,0.00016975720312217835,0.00013315068493150684,0.0,0.0001270066774041,0.0,0.0,0.0,0.0
1998-11-11,3.4542105690205105e-06,0.0,3.4542105690205105e-06,0.00013136986301369864,0.0,0.0001244491439837,0.0,0.0,0.0,0.0
1998-11-12,0.00010374370709254066,0.0,0.00010374370709254066,0.00013136986301369864,0.0,0.0001244491439837,0.0,0.0,0.0,0.0
1998-11-13,4.623068892217752e-05,0.0,4.623068892217752e-05,0.00013027397260273972,0.0,0.0001227447754121,0.0,0.0,0.0,0.0
1998-11-16,2.2603341824689593e-05,0.0,2.2603341824689593e-05,0.00039452054794520547,0.0,0.0003673822944203,0.0,0.0,0.0,0.0
1998-11-17,1.3629523880398509e-05,0.0,1.3629523880398509e-05,0.00013205479452054795,0.0,0.0001238809630354,0.0,0.0,0.0,0.0
1998-11-18,0.00012408289915888382,0.0,0.00012408289915888382,0.00013246575342465753,0.0,0.0001210409295269,0.0,0.0,0.0,0.0
1998-11-19,5.943184878343111e-05,0.0,5.943184878343111e-05,0.00013191780821917808,0.0,0.0001216088200939,0.0,0.0,0.0,0.0
1998-11-20,6.227014468951353e-06,0.0,6.227014468951353e-06,0.0001323287671232877,0.0,0.0001221767687193,0.0,0.0,0.0,0.0
1998-11-23,1.1718237915347984e-05,0.0,1.1718237915347984e-05,0.00039410958904109587,0.0,0.0003665303061581,0.0,0.0,0.0,0.0
1998-11-24,6.890585125451931e-05,0.0,6.890585125451931e-05,0.00013191780821917808,0.0,0.0001258698505745,0.0,0.0,0.0,0.0
1998-11-25,9.118185310863502e-05,0.0,9.118185310863502e-05,0.0001323287671232877,0.0,0.0001267224488958,0.0,0.0,0.0,0.0
1998-11-27,0.00016279573633348754,0.0,0.00016279573633348754,0.0002641095890410959,0.0,0.000250603048704,0.0,0.0,0.0,0.0
1998-11-30,9.206695818386734e-06,0.0,9.206695818386734e-06,0.0003949315068493142,0.0,0.0003741997687378,0.0,0.0,0.0,0.0
1998-12-01,2.606156472673149e-05,0.0,2.606156472673149e-05,0.00012931506849315068,0.0,0.0001241650462472,0.0,0.0,0.0,0.0
1998-12-02,0.00023125746303431782,0.0,0.00023125746303431782,0.0001273972602739726,0.0,0.0001230288005366,0.0,0.0,0.0,0.0
1998-12-03,2.7162185308182707e-05,0.0,2.7162185308182707e-05,0.00012506849315068467,0.0,0.0001227447754121,0.0,0.0,0.0,0.0
1998-12-04,2.628876600629937e-06,0.0,2.628876600629937e-06,0.00012493150684931507,0.0,0.0001218927871487,0.0,0.0,0.0,0.0
1998-12-07,2.086457160421773e-05,0.0,2.086457160421773e-05,0.00037931506849315063,0.0,0.0003682343262365,0.0,0.0,0.0,0.0
1998-12-08,5.4933224199582575e-05,0.0,5.4933224199582575e-05,0.00012863013698630136,0.0,0.0001235968943471,0.0,0.0,0.0,0.0
1998-12-09,7.848578919689153e-05,0.0,7.848578919689153e-05,0.00012616438356164382,0.0,0.0001213248675536,0.0,0.0,0.0,0.0
1998-12-10,2.7633276963756614e-05,0.0,2.7633276963756614e-05,0.0001249315068493148,0.0,0.0001213248675536,0.0,0.0,0.0,0.0
