최종자산_명목,누적납입,누적세금,환전비용,XIRR_명목,평가액MDD,단위가치MDD,원금하회_최장거래일,원금대비_최대평가손실,목표25억_최초도달,리밸런싱매도_원화,리밸런싱실현이익_원화,TQQQ연말최대매수_원화,그때_TQQQ고점대비,S1_청산일,S2_동결,key,보유년,시작,종료,배분
2850076799.829632,906000000.0,547879764.0545115,906000.0,0.13019256706532184,-0.29438583884011904,-0.29637951029268705,10,14002683.327145964,2021-10-29,0.0,0.0,0.0,,해당 없음,해당 없음,SPY,14,2010-03-01,2024-02-29,M1
2911039165.883763,906000000.0,565074277.5569588,906000.0,0.13258158968495232,-0.2943461464546997,-0.296379589756922,38,18361835.88889876,2021-11-03,0.0,0.0,0.0,,해당 없음,해당 없음,SPY,14,2010-04-01,2024-03-28,M1
2848665553.4872417,910500000.0,546213758.6758888,910500.0,0.12991365453288753,-0.2943175799148374,-0.29637964694719166,86,20026273.074789762,2021-11-18,0.0,0.0,0.0,,해당 없음,해당 없음,SPY,14,2010-05-03,2024-05-02,M1
2984188055.7017,906000000.0,585706015.710736,906000.0,0.13515286044565825,-0.29431742010835127,-0.29637964726712496,28,15560276.742240012,2021-11-18,0.0,0.0,0.0,,해당 없음,해당 없음,SPY,14,2010-06-01,2024-05-31,M1
3069057792.2246447,906000000.0,609643633.704387,906000.0,0.13827253470758014,-0.29431900552860724,-0.29637964409311013,4,10722696.736605734,2021-11-16,0.0,0.0,0.0,,해당 없음,해당 없음,SPY,14,2010-07-01,2024-06-28,M1
2988272672.2191157,910500000.0,585590125.4976993,910500.0,0.1351088824323464,-0.2942653144137988,-0.2963797515828297,34,17372737.42989233,2021-12-27,0.0,0.0,0.0,,해당 없음,해당 없음,SPY,14,2010-08-02,2024-08-01,M1
3024049442.572143,906000000.0,596948970.9818866,906000.0,0.13660773902602727,-0.2942652706953781,-0.2963797516703539,9,12881585.255102098,2021-12-27,0.0,0.0,0.0,,해당 없음,해당 없음,SPY,14,2010-09-01,2024-08-30,M1
3003569739.6704874,906000000.0,591172644.5224453,906000.0,0.13584712471611277,-0.2942337357996999,-0.2963798148032786,28,14669585.498316944,2022-08-16,0.0,0.0,0.0,,해당 없음,해당 없음,SPY,14,2010-10-01,2024-09-30,M1
3069281821.6671925,906000000.0,609706821.4958748,906000.0,0.13817095536773272,-0.2941961184020492,-0.2963798901133836,29,17432424.97253841,2023-04-28,0.0,0.0,0.0,,해당 없음,해당 없음,SPY,14,2010-11-01,2024-10-31,M1
3214809523.30182,906000000.0,650753096.315898,906000.0,0.14322151663505608,-0.29413778317225814,-0.2963800069006304,50,23712340.84758371,2023-06-27,0.0,0.0,0.0,,해당 없음,해당 없음,SPY,14,2010-12-01,2024-11-29,M1
3245792841.2975216,910500000.0,658224019.3403265,910500.0,0.14399591783446358,-0.29409165489548017,-0.296380099249533,69,27346610.568433136,2023-06-29,0.0,0.0,0.0,,해당 없음,해당 없음,SPY,14,2011-01-03,2025-01-02,M1
3250981009.872165,906000000.0,660955310.4767644,906000.0,0.14435660247011656,-0.2940549470613605,-0.29638017273869033,115,29088612.98517421,2023-08-01,0.0,0.0,0.0,,해당 없음,해당 없음,SPY,14,2011-02-01,2025-01-31,M1
3191488260.4902215,906000000.0,644175304.2408316,906000.0,0.1424323565662056,-0.29402457952125527,-0.29638023353456666,146,29605145.580557436,2023-08-08,0.0,0.0,0.0,,해당 없음,해당 없음,SPY,14,2011-03-01,2025-02-28,M1
3043173296.0767865,906000000.0,602342878.3806322,906000.0,0.13728014183778867,-0.29401111181642225,-0.29638026049693844,112,27288681.8388696,2023-08-14,0.0,0.0,0.0,,해당 없음,해당 없음,SPY,14,2011-04-01,2025-03-31,M1
2948639835.3300047,910500000.0,574411633.0417962,910500.0,0.1336882149488275,-0.2939850981459866,-0.2963803125763589,115,26936651.360281587,2023-11-14,0.0,0.0,0.0,,해당 없음,해당 없음,SPY,14,2011-05-02,2025-05-01,M1
2979741684.4124107,906000000.0,584451910.9881158,906000.0,0.13503772695735478,-0.2939795689797392,-0.2963803236457606,56,23306689.12890607,2023-11-14,0.0,0.0,0.0,,해당 없음,해당 없음,SPY,14,2011-06-01,2025-05-30,M1
3033307171.065813,906000000.0,599560125.1724088,906000.0,0.13693854827298824,-0.29394665757985383,-0.296380389534449,69,23903475.93864882,2023-12-07,0.0,0.0,0.0,,해당 없음,해당 없음,SPY,14,2011-07-01,2025-06-30,M1
3214492819.503995,906000000.0,650663769.6036909,906000.0,0.14318697449293177,-0.29396622198369904,-0.29638035036647303,33,16390441.114544123,2023-12-01,0.0,0.0,0.0,,해당 없음,해당 없음,SPY,14,2011-08-01,2025-07-31,M1
3289290149.306822,906000000.0,671760452.3685908,906000.0,0.1457313725273285,-0.29398772342300106,-0.29638030732054843,4,4530730.3347655535,2023-09-05,0.0,0.0,0.0,,해당 없음,해당 없음,SPY,14,2011-09-01,2025-08-29,M1
3412697991.007674,910500000.0,705299830.7970364,910500.0,0.1494306165353611,-0.29394648994493344,-0.29638038987005444,1,308691.308691293,2023-12-07,0.0,0.0,0.0,,해당 없음,해당 없음,SPY,14,2011-10-03,2025-10-02,M1
3434448646.9781246,906000000.0,712702592.7374198,906000.0,0.15029652803602636,-0.2938691262451576,-0.2963805447523369,4,2288190.652236998,2023-12-13,0.0,0.0,0.0,,해당 없음,해당 없음,SPY,14,2011-11-01,2025-10-31,M1
3472473045.306716,906000000.0,723427423.0352278,906000.0,0.15157680561383235,-0.2938153073800175,-0.2963806524978124,2,626431.7919356227,2024-01-10,0.0,0.0,0.0,,해당 없음,해당 없음,SPY,14,2011-12-01,2025-11-28,M1
3365202790.809673,910500000.0,691903748.6899078,910500.0,0.1479013346358192,-0.293747820792421,-0.29638078760609576,1,308691.3086913228,2024-01-19,0.0,0.0,0.0,,해당 없음,해당 없음,SPY,14,2012-01-03,2026-01-02,M1
3353136886.077809,906000000.0,689768506.3296384,906000.0,0.14773922836499054,-0.2936972962346036,-0.2963808887563618,3,2295342.489237696,2024-01-25,0.0,0.0,0.0,,해당 없음,해당 없음,SPY,14,2012-02-01,2026-01-30,M1
3262622888.507515,906000000.0,664238917.2713504,906000.0,0.14487101796911456,-0.2936395758628497,-0.29638100431266146,11,6628584.711629033,2024-02-09,0.0,0.0,0.0,,해당 없음,해당 없음,SPY,14,2012-03-01,2026-02-27,M1
3220166616.987873,910500000.0,650996109.9196565,910500.0,0.14322524757801336,-0.2935684191774318,-0.29638114676848826,91,12518108.207547396,2024-02-29,0.0,0.0,0.0,,해당 없음,해당 없음,SPY,14,2012-04-02,2026-04-01,M1
3414781496.834845,906000000.0,707155447.8252127,906000.0,0.14973773407591426,-0.29354435438186544,-0.29638119494625736,68,11413610.933949172,2024-03-01,0.0,0.0,0.0,,해당 없음,해당 없음,SPY,14,2012-05-01,2026-04-30,M1
3666023416.5578313,906000000.0,778018553.3881062,906000.0,0.15744065447335703,-0.2935630386744892,-0.2963811575402656,10,4282331.730358452,2024-03-01,0.0,0.0,0.0,,해당 없음,해당 없음,SPY,14,2012-06-01,2026-05-29,M1
3668780262.0974555,910500000.0,777528163.6685133,910500.0,0.15728716870373363,-0.2934947134276763,-0.2963812943275467,45,9238662.978375018,2024-03-20,0.0,0.0,0.0,,해당 없음,해당 없음,SPY,14,2012-07-02,2026-07-01,M1
